Best_X,Best_Y
49,49
154,145
248,243
335,359
458,452
536,563
663,663
756,747
854,871
953,973
1049,1050
1163,1169
1243,1252
1329,1345
1453,1459
1536,1576
1661,1647
1745,1762
1842,1876
1965,1957
2031,2044
2147,2136
2246,2245
2328,2337
2456,2456
2528,2563
2645,2655
2742,2762
2846,2856
2940,2945
3041,3051
3167,3190
3267,3261
3373,3355
3458,3427
3531,3540
3634,3627
3762,3751
3844,3858
3959,3965
4031,4055
4177,4135
4256,4261
4362,4367
4453,4424
4554,4558
4652,4646
4762,4749
4845,4844
4964,4947
5042,5055
5135,5147
5239,5250
5371,5344
5475,5487
5556,5532
5613,5651
5748,5761
5852,5841
5965,5942
6055,6029
6165,6134
6269,6251
6342,6337
6432,6442
6560,6547
6647,6644
6728,6732
6865,6846
6964,6940
7054,7066
7153,7148
7250,7247
7332,7349
7451,7477
7535,7532
7651,7630
7751,7743
7863,7846
7967,7983
8057,8052
8135,8156
8259,8257
8352,8323
8473,8451
8529,8571
8655,8658
8743,8760
8836,8836
8940,8944
9048,9056
9145,9143
9268,9254
9370,9353
9467,9459
9549,9559
9644,9651
9751,9750
9852,9852
9956,9972
